id,name,teacher,publisher,type,url
1,算术与代数预备课程：加法与减法,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/additionandsubtraction.html
2,算术与代数预备课程：乘法与除法,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/multiplication.html
3,算术与代数预备课程：数的性质,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/number.html
4,算术与代数预备课程：计算顺序,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/arithmetic.html
5,算术与代数预备课程：比率与比例,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/ratios.html
6,算术与代数预备课程：约数与倍数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/multiples.html
7,算术与代数预备课程：分数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/fractions.html
8,算术与代数预备课程：小数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/decimals.html
9,算术与代数预备课程：负数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/negative.html
10,算术与代数预备课程：指数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/exponents.html
11,比例,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/ratiosproportions.html
12,基础几何,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/introductory.html
13,几何学-角,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/angles.html
14,三角学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/trigonometry.html
15,三角形,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/triangle.html
16,画图,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/huatu.html
17,几何习题课,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/example.html
18,加州标准测试：几何,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/california.html
19,多边形、四边形和平行四边形,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/polygon.html
20,欧几里得几何学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/euclideangeometry.html
21,数学涂鸦,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/doodlinginmath.html
22,计算数论,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/computationalnumber.html
23,新加坡数学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/singapore.html
24,复数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/complexnumber.html
25,绝对值,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/value.html
26,印度理工学院联合入学考试,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/iitjee.html
27,对数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/logarithms.html
28,加州标准测试：代数I,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/algebrai.html
29,基础代数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/algebra.html
30,信息论,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/theory.html
31,线性代数,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/linearalgebra.html
32,古代密码学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/ancientcryptography.html
33,现代密码学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/moderncryptography.html
34,微积分预备,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/precalculus.html
35,微积分-微分学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/differentialcalculus.html
36,微分方程,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/differential.html
37,概率,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/probability.html
38,统计学,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/khstatistics.html
39,脑筋急转弯,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/brainteasers.html
40,代数习题课,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/algebraproblem.html
41,加州高中毕业考试习题讲解,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/cahseeexample.html
42,GMAT考试（数据充分性）,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/sufficiency.html
43,GMAT考试问题解答（数学）,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/gmatproblemsolving.html
44,SAT考试习题详解（数学部分）,Salman Khan,可汗学院,Mathematics,http://open.163.com/special/Khan/satpreparation.html
45,逻辑推理,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/khanluojituili.html
46,计算机科学,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/computer.html
47,基础化学,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/chemistry.html
48,物理学,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/physics.html
49,生物学,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/khanbiology.html
50,有机化学,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/organicchemistry.html
51,天文学,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/cosmology.html
52,保健与医学-循环系统,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/healthandmedicine.html
53,MCAT考试-有机系统,Salman Khan,可汗学院,Science,http://open.163.com/special/Khan/mcat-youjixitong.html
54,现行经济状况,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/currenteconomics.html
55,宏观经济学,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/macroeconomics.html
56,微观经济学,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/microeconomics.html
57,金融学,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/finance.html
58,货币银行学,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/bankingandmoney.html
59,风险投资与金融市场,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/venturecapitalandcapitamarket.html
60,投资与估值,Salman Khan,可汗学院,Economics,http://open.163.com/special/Khan/valuation.html
61,欧洲史,Salman Khan,可汗学院,Humanity,http://open.163.com/special/Khan/european.html
62,公元400年前的古代艺术,Salman Khan,可汗学院,Humanity,http://open.163.com/special/Khan/400ce.html
63,艺术史简介,Salman Khan,可汗学院,Humanity,http://open.163.com/special/Khan/arthistory.html
64,古代中世纪史,Salman Khan,可汗学院,Humanity,http://open.163.com/special/Khan/ancientandmedievalhistory.html